meeting_name,date_time,location,url
Capital Programs Committee Meeting,"August 19, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-08-19/capital-programs-committee-meeting
Middleborough Virtual Community Meeting on South Coast Rail - POSTPONED,"August 20, 2020, 6:00 PM","Virtual, Middleborough, MA",www.mbta.com/events/2020-08-20/middleborough-virtual-community-meeting-south-coast-rail-postponed
Codman Yard Expansion and Improvements Virtual Public Meeting,"August 20, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-08-20/codman-yard-expansion-and-improvements-virtual-public-meeting
Disadvantaged Business Enterprise (DBE) Program Public Meeting,"August 21, 2020, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2020-08-21/disadvantaged-business-enterprise-dbe-program-public-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"August 24, 2020, 10:00 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-08-24/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Middleborough Virtual Workshop on South Coast Rail - POSTPONED,"August 27, 2020, 6:00 PM","Virtual, Middleborough, MA",www.mbta.com/events/2020-08-27/middleborough-virtual-workshop-south-coast-rail-postponed
Parker Street Bridge Replacement Virtual Public Meeting,"September 2, 2020, 6:00 PM","Virtual, Lawrence, MA",www.mbta.com/events/2020-09-02/parker-street-bridge-replacement-virtual-public-meeting
Lynn Commercial Street Bridge Replacement Virtual Public Meeting,"September 9, 2020, 6:00 PM","Virtual, Lynn, MA",www.mbta.com/events/2020-09-09/lynn-commercial-street-bridge-replacement-virtual-public-meeting
Fiscal and Management Control Board Meeting,"September 14, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-09-14/fiscal-and-management-control-board-meeting
Finance and Audit Committee Meeting,"September 16, 2020, 9:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-09-16/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"September 16, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-09-16/capital-programs-committee-meeting
Quincy Bus Maintenance Facility MEPA ENF Scoping Session,"September 21, 2020, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2020-09-21/quincy-bus-maintenance-facility-mepa-enf-scoping-session
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"September 21, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-09-21/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
New Bedford South Coast Rail Listening Session,"September 22, 2020, 6:00 PM","Virtual, New Bedford, MA",www.mbta.com/events/2020-09-22/new-bedford-south-coast-rail-listening-session
Fiscal and Management Control Board Meeting,"October 5, 2020, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-10-05/fiscal-and-management-control-board-meeting
Massachusetts Avenue Station Accessibility Improvements Virtual Public Meeting – POSTPONED,"October 8, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-10-08/massachusetts-avenue-station-accessibility-improvements-virtual-public-meeting
Lynn Fells Parkway Bridge Replacement Project Virtual Public Meeting,"October 13, 2020, 6:00 PM","Virtual, Melrose, MA",www.mbta.com/events/2020-10-13/lynn-fells-parkway-bridge-replacement-project-virtual-public-meeting
Jackson Square Station Accessibility Improvements Virtual Public Meeting – POSTPONED,"October 13, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-10-13/jackson-square-station-accessibility-improvements-virtual-public-meeting
Finance and Audit Committee Meeting,"October 14, 2020, 9:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-10-14/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"October 14, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-10-14/capital-programs-committee-meeting
Advisory Meeting | Riders' Transportation Access Group Meeting,"October 15, 2020, 5:30 PM","Virtual, Boston, MA",www.mbta.com/events/2020-10-15/advisory-meeting-riders-transportation-access-group-meeting
Wellington Station Accessibility Improvements Virtual Public Meeting – POSTPONED,"October 15, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-10-15/wellington-station-accessibility-improvements-virtual-public-meeting-postponed
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"October 19, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-10-19/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Porter Square Retaining Wall Repairs Virtual Public Meeting,"November 5, 2020, 6:00 PM","Virtual, Cambridge, MA",www.mbta.com/events/2020-11-05/porter-square-retaining-wall-repairs-virtual-public-meeting
Fiscal and Management Control Board Meeting,"November 9, 2020, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-11-09/fiscal-and-management-control-board-meeting
Forging Ahead Virtual Public Meeting: Metrowest (Region 1),"November 10, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-10/forging-ahead-virtual-public-meeting-metrowest-region-1
Forging Ahead Virtual Public Meeting: Minuteman (Region 2),"November 12, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-12/forging-ahead-virtual-public-meeting-minuteman-region-2
Forging Ahead Virtual Public Meeting: Boston and Milton (Region 3),"November 14, 2020, 1:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-14/forging-ahead-virtual-public-meeting-boston-and-milton-region-3
Forging Ahead Virtual Public Meeting: Inner Core (Region 4),"November 17, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-17/forging-ahead-virtual-public-meeting-inner-core-region-4
Finance and Audit Committee Meeting,"November 18, 2020, 9:00 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-11-18/finance-and-audit-committee-meeting
Capital Programs Committee Meeting,"November 18, 2020, 10:30 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-11-18/capital-programs-committee-meeting
Forging Ahead Virtual Public Meeting: Mystic River (Region 5),"November 18, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-18/forging-ahead-virtual-public-meeting-mystic-river-region-5
Advisory Meeting | Riders' Transportation Access Group Meeting,"November 19, 2020, 2:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-19/advisory-meeting-riders-transportation-access-group-meeting
Forging Ahead Virtual Public Hearing: System-Wide Service,"November 19, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-19/forging-ahead-virtual-public-hearing-system-wide-service
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"November 23, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-11-23/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Forging Ahead Virtual Public Meeting: South Shore (Region 6),"November 23, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-23/forging-ahead-virtual-public-meeting-south-shore-region-6
Forging Ahead Virtual Public Meeting: North Shore (Region 7),"November 24, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-24/forging-ahead-virtual-public-meeting-north-shore-region-7
Forging Ahead Virtual Public Meeting: Bristol (Region 8),"November 30, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-11-30/forging-ahead-virtual-public-meeting-bristol-region-8
Forging Ahead Virtual Public Meeting: Merrimack Valley (Region 9),"December 1, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-12-01/forging-ahead-virtual-public-meeting-merrimack-valley-region-9
Public Meeting on Accessibility and BCIL Settlement Update,"December 2, 2020, 1:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-12-02/public-meeting-accessibility-and-bcil-settlement-update
Forging Ahead Virtual Public Meeting: System-Wide Service,"December 2, 2020, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2020-12-02/forging-ahead-virtual-public-meeting-system-wide-service
Fiscal and Management Control Board Meeting,"December 7, 2020, 11:00 AM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-12-07/fiscal-and-management-control-board-meeting
Green Line Extension (GLX) Virtual Public Meeting,"December 9, 2020, 6:30 PM","Virtual, Somerville, MA",www.mbta.com/events/2020-12-09/green-line-extension-glx-virtual-public-meeting
Fiscal and Management Control Board Meeting,"December 14, 2020, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2020-12-14/fiscal-and-management-control-board-meeting
High Line Bridge Replacement Virtual Public Meeting,"December 14, 2020, 6:00 PM","Virtual, Somerville, MA",www.mbta.com/events/2020-12-14/high-line-bridge-replacement-virtual-public-meeting
Quincy Bus Facility Virtual Public Meeting,"December 16, 2020, 5:30 PM","Virtual, Quincy, MA",www.mbta.com/events/2020-12-16/quincy-bus-facility-virtual-public-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"January 11, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-01-11/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Hingham Ferry Dock Improvements Virtual Public Meeting,"January 14, 2021, 6:00 PM","Virtual Public Meeting, Boston, MA",www.mbta.com/events/2021-01-14/hingham-ferry-dock-improvements-virtual-public-meeting
Advisory Meeting | Riders' Transportation Access Group Meeting,"January 20, 2021, 5:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-01-20/advisory-meeting-riders-transportation-access-group-meeting
Fiscal and Management Control Board Meeting,"January 25, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-01-25/fiscal-and-management-control-board-meeting
Middleborough South Coast Rail Virtual Meeting,"January 27, 2021, 6:00 PM","Virtual, Middleborough, MA",www.mbta.com/events/2021-01-27/middleborough-south-coast-rail-virtual-meeting
Green Line Transformation B Branch Station Consolidation Virtual Public Meeting,"January 28, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-01-28/green-line-transformation-b-branch-station-consolidation-virtual-public-meeting
Silver Line Extension Alternatives Analysis Working Group Meeting #1,"February 1, 2021, 12:30 PM","Virtual, Boston, MA",www.mbta.com/events/2021-02-01/silver-line-extension-alternatives-analysis-working-group-meeting-1
Taunton South Coast Rail Virtual Meeting,"February 4, 2021, 6:00 PM","Virtual, Taunton, MA",www.mbta.com/events/2021-02-04/taunton-south-coast-rail-virtual-meeting
Fiscal and Management Control Board Meeting,"February 8, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-02-08/fiscal-and-management-control-board-meeting
Spring 2021 Service Changes Virtual Public Meeting,"February 17, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-02-17/spring-2021-service-changes-virtual-public-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"February 22, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-02-22/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Forging Ahead Service Level Reduction Environmental Notification Form (ENF) Consultation Session,"February 23, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-02-23/forging-ahead-service-level-reduction-environmental-notification-form-enf
Public Meeting | Winchester Center Station (Virtual),"February 23, 2021, 6:00 PM","Virtual, Winchester, MA",www.mbta.com/events/2021-02-23/public-meeting-winchester-center-station-virtual
Spring 2021 Service Changes Virtual Public Meeting,"February 24, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-02-24/spring-2021-service-changes-virtual-public-meeting
Fall River South Coast Rail Virtual Meeting,"February 25, 2021, 6:00 PM","Virtual, Fall River, MA",www.mbta.com/events/2021-02-25/fall-river-south-coast-rail-virtual-meeting
Green Line Transformation Symphony Station Accessibility Improvements Virtual Public Meeting,"March 3, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-03/green-line-transformation-symphony-station-accessibility-improvements-virtual
South Attleboro Station Accessibility Improvements Virtual Public Meeting,"March 4, 2021, 6:00 PM","Virtual, South Attleboro, MA",www.mbta.com/events/2021-03-04/south-attleboro-station-accessibility-improvements-virtual-public-meeting
Fiscal and Management Control Board Meeting,"March 8, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-03-08/fiscal-and-management-control-board-meeting
Fare Transformation Sales Network Virtual Public Meeting,"March 23, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-23/fare-transformation-sales-network-virtual-public-meeting
Advisory Meeting | Riders' Transportation Access Group Meeting,"March 25, 2021, 2:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-25/advisory-meeting-riders-transportation-access-group-meeting
Dorchester Ave Bridge Replacement Virtual Public Meeting,"March 25, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-25/dorchester-ave-bridge-replacement-virtual-public-meeting
Fare Transformation Sales Network Virtual Public Meeting,"March 25, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-25/fare-transformation-sales-network-virtual-public-meeting
Silver Line Extension Alternatives Analysis Working Group Meeting #2,"March 29, 2021, 12:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-29/silver-line-extension-alternatives-analysis-working-group-meeting-2
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"March 29, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-03-29/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Gloucester Drawbridge Virtual Public Meeting,"March 30, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-30/gloucester-drawbridge-virtual-public-meeting
Fare Transformation Sales Network Virtual Public Meeting,"March 30, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-03-30/fare-transformation-sales-network-virtual-public-meeting
Fiscal and Management Control Board Meeting,"April 12, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-04-12/fiscal-and-management-control-board-meeting
Fare Evasion Regulations Public Hearing,"April 15, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-04-15/fare-evasion-regulations-public-hearing
Fare Payment Verification Public Meeting,"April 20, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-04-20/fare-payment-verification-public-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"April 26, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-04-26/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Silver Line Extension Alternatives Analysis Public Meeting #1,"April 27, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-04-27/silver-line-extension-alternatives-analysis-public-meeting-1
Fare Payment Verification Public Meeting,"April 29, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-04-29/fare-payment-verification-public-meeting
GLT D Branch Station Accessibility Improvements Public Meeting,"April 29, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-04-29/glt-d-branch-station-accessibility-improvements-public-meeting
East Cottage Street and Norfolk Avenue Bridges Replacement Project Virtual Public Meeting,"May 6, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-05-06/east-cottage-street-and-norfolk-avenue-bridges-replacement-project-virtual-public
Fiscal and Management Control Board Meeting,"May 10, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-05-10/fiscal-and-management-control-board-meeting
Advisory Meeting | Riders' Transportation Access Group Meeting,"May 18, 2021, 5:30 PM","Virtual, Boston, MA",www.mbta.com/events/2021-05-18/advisory-meeting-riders-transportation-access-group-meeting
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"May 24, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-05-24/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Public Meeting | Fare Rules (Virtual),"May 25, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-05-25/public-meeting-fare-rules-virtual
Public Meeting | Capital Investment Plan (Northern Middlesex / Merrimack Valley),"May 26, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-05-26/public-meeting-capital-investment-plan-northern-middlesex-merrimack-valley
Public Meeting | Capital Investment Plan (Central Mass / Montachusett),"May 27, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-05-27/public-meeting-capital-investment-plan-central-mass-montachusett
Public Meeting | Fare Rules (Virtual),"May 27, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-05-27/public-meeting-fare-rules-virtual
Public Meeting | Capital Investment Plan (Boston Region),"June 1, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-06-01/public-meeting-capital-investment-plan-boston-region
Public Meeting on Accessibility and Daniels-Finegold v. MBTA Settlement Update,"June 2, 2021, 1:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-06-02/public-meeting-accessibility-and-daniels-finegold-v-mbta-settlement-update
Public Meeting | Capital Investment Plan (Southeastern Mass / Old Colony),"June 2, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-06-02/public-meeting-capital-investment-plan-southeastern-mass-old-colony
Fiscal and Management Control Board Meeting,"June 7, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-06-07/fiscal-and-management-control-board-meeting
Bus Network Redesign Public Meeting,"June 8, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-06-08/bus-network-redesign-public-meeting
Public Meeting | Summer 2021 Service Changes (Virtual),"June 10, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-06-10/public-meeting-summer-2021-service-changes-virtual
Joint Meeting of the MassDOT Board and the Fiscal and Management Control Board,"June 21, 2021, 12:00 PM","State Transportation Building, 2nd Floor, Boston, MA",www.mbta.com/events/2021-06-21/joint-meeting-the-massdot-board-and-the-fiscal-and-management-control-board
Public Meeting | Green Line Transformation (GLT) E Branch Track and Intersection Upgrades (Virtual),"July 14, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-07-14/public-meeting-green-line-transformation-glt-e-branch-track-and-intersection
Public Meeting | MassDOT Finance and Audit Subcommittee,"July 21, 2021, 9:30 AM","Virtual, Boston, MA",www.mbta.com/events/2021-07-21/public-meeting-massdot-finance-and-audit-subcommittee
Public Meeting | MassDOT Capital Programs Subcommittee,"July 21, 2021, 10:30 AM","Virtual, Boston, MA",www.mbta.com/events/2021-07-21/public-meeting-massdot-capital-programs-subcommittee
Public Meeting | MassDOT Board of Directors,"July 26, 2021, 12:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-07-26/public-meeting-massdot-board-directors
Public Meeting | Fall 2021 Service Changes (Virtual),"August 5, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-08-05/public-meeting-fall-2021-service-changes-virtual
Public Meeting | Better Bus Project Open House (Virtual),"August 26, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-08-26/public-meeting-better-bus-project-open-house-virtual
Silver Line Extension Alternatives Analysis Working Group Meeting #3,"September 14, 2021, 2:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-09-14/silver-line-extension-alternatives-analysis-working-group-meeting-3
Silver Line Extension Alternatives Analysis Public Meeting #2,"September 28, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-09-28/silver-line-extension-alternatives-analysis-public-meeting-2
Public Meeting | Bus Accessibility Demo of the Quantum Mobility Device Securement System,"October 6, 2021, 11:00 AM","City Hall Plaza, Boston, MA",www.mbta.com/events/2021-10-06/public-meeting-bus-accessibility-demo-the-quantum-mobility-device-securement
Public Meeting | MA Commission for the Blind and MBTA Town Hall (Virtual),"October 7, 2021, 12:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-10-07/public-meeting-ma-commission-the-blind-and-mbta-town-hall-virtual
Community Engagement | Better Bus Project Street Team (Harvard Square),"October 12, 2021, 10:00 AM","Harvard Square Station, Cambridge, MA",www.mbta.com/events/2021-10-12/community-engagement-better-bus-project-street-team-harvard-square
Community Engagement | Better Bus Project Street Team (Forest Hills),"October 12, 2021, 4:30 PM","Forest Hills Station, Jamaica Plain, MA",www.mbta.com/events/2021-10-12/community-engagement-better-bus-project-street-team-forest-hills
Community Engagement | Better Bus Project Street Team (Haymarket),"October 13, 2021, 10:00 AM","Haymarket Station, Boston, MA",www.mbta.com/events/2021-10-13/community-engagement-better-bus-project-street-team-haymarket
Community Engagement | Better Bus Project Street Team (Ashmont),"October 13, 2021, 2:30 PM","Ashmont Station, Boston, MA",www.mbta.com/events/2021-10-13/community-engagement-better-bus-project-street-team-ashmont
Public Meeting | Newton Commuter Rail Stations Accessibility Improvements (Virtual),"October 13, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-10-13/public-meeting-newton-commuter-rail-stations-accessibility-improvements-virtual
Community Engagement | Better Bus Project Street Team (Forest Hills),"October 14, 2021, 10:00 AM","Forest Hills Station, Jamaica Plain, MA",www.mbta.com/events/2021-10-14/community-engagement-better-bus-project-street-team-forest-hills
Public Meeting | Bus Accessibility Demo of the Quantum Mobility Device Securement System,"October 14, 2021, 11:00 AM","Upper level, Ruggles station, Roxbury, MA",www.mbta.com/events/2021-10-14/public-meeting-bus-accessibility-demo-the-quantum-mobility-device-securement
Community Engagement | Better Bus Project Street Team (Haymarket),"October 14, 2021, 3:00 PM","Haymarket Station, Boston, MA",www.mbta.com/events/2021-10-14/community-engagement-better-bus-project-street-team-haymarket
Community Engagement | Better Bus Project Street Team (Ashmont),"October 18, 2021, 10:00 AM","Ashmont Station, Boston, MA",www.mbta.com/events/2021-10-18/community-engagement-better-bus-project-street-team-ashmont
Community Engagement | Better Bus Project Street Team (Sullivan Square),"October 18, 2021, 3:00 PM","Sullivan Square Station, Charlestown, MA",www.mbta.com/events/2021-10-18/community-engagement-better-bus-project-street-team-sullivan-square
Community Engagement | Better Bus Project Street Team (Nubian Square),"October 19, 2021, 10:00 AM","Nubian Square Station, Roxbury, MA",www.mbta.com/events/2021-10-19/community-engagement-better-bus-project-street-team-nubian-square
Community Engagement | Better Bus Project Street Team (Maverick),"October 20, 2021, 10:00 AM","Maverick Station, East Boston, MA",www.mbta.com/events/2021-10-20/community-engagement-better-bus-project-street-team-maverick
Community Engagement | Better Bus Project Street Team (Nubian Square),"October 20, 2021, 4:00 PM","Nubian Square Station, Roxbury, MA",www.mbta.com/events/2021-10-20/community-engagement-better-bus-project-street-team-nubian-square
Community Engagement | Better Bus Project Street Team (Sullivan Square),"October 21, 2021, 10:00 AM","Sullivan Square Station, Charlestown, MA",www.mbta.com/events/2021-10-21/community-engagement-better-bus-project-street-team-sullivan-square
Community Engagement | Better Bus Project Street Team (Harvard Square),"October 21, 2021, 4:30 PM","Harvard Square Station, Cambridge, MA",www.mbta.com/events/2021-10-21/community-engagement-better-bus-project-street-team-harvard-square
Public Meeting | Green Line Transformation Symphony Station Accessibility Improvements (Virtual),"October 21, 2021, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2021-10-21/public-meeting-green-line-transformation-symphony-station-accessibility
Community Engagement | Better Bus Project Street Team (Wonderland),"October 25, 2021, 10:00 AM","Wonderland Station, Revere, MA",www.mbta.com/events/2021-10-25/community-engagement-better-bus-project-street-team-wonderland
