meeting_name,date_time,location,url
Advisory Meeting | Riders' Transportation Access Group (R-TAG) (Virtual),"February 24, 2022, 5:30 PM","Virtual, Boston, MA",www.mbta.com/events/2022-02-24/advisory-meeting-riders-transportation-access-group-r-tag-virtual
Public Meeting | Spring 2022 Service Changes (Virtual),"March 1, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-01/public-meeting-spring-2022-service-changes-virtual
Public Meeting | New Bedford South Coast Rail,"March 1, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-01/public-meeting-new-bedford-south-coast-rail
Public Meeting | Forest Hills Station Accessibility Updates (Virtual),"March 9, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-09/public-meeting-forest-hills-station-accessibility-updates-virtual
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"March 10, 2022, 9:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-03-10/board-meeting-mbta-audit-and-finance-subcommittee-virtual
"Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee (Virtual)","March 10, 2022, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-03-10/board-meeting-mbta-planning-workforce-development-compensation-subcommittee
Public Meeting | RLT Codman Yard Expansion and Improvements (Virtual),"March 10, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-10/public-meeting-rlt-codman-yard-expansion-and-improvements-virtual
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","March 11, 2022, 3:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-11/board-meeting-mbta-safety-health-environment-subcommittee-virtual
Job Fair | Fairmount Indigo Transit Coalition (FITC) Job Fair,"March 14, 2022, 10:00 AM","South Station, Boston, MA",www.mbta.com/events/2022-03-14/job-fair-fairmount-indigo-transit-coalition-fitc-job-fair
Public Meeting | Fare Media Changes,"March 15, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-15/public-meeting-fare-media-changes
Public Hearing | Fare Media Changes,"March 22, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-22/public-hearing-fare-media-changes
Board Meeting | MBTA Board of Directors (Virtual),"March 24, 2022, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-03-24/board-meeting-mbta-board-directors-virtual
Listening Session | Accessibility at the MBTA: Improving the Experience for Riders Who Are Blind or Have Low Vision (Virtual),"March 31, 2022, 3:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-31/listening-session-accessibility-the-mbta-improving-the-experience-riders-who-are
Public Meeting | FY 2023 – 2027 Capital Investment Plan (CIP) Meeting (Virtual),"March 31, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-03-31/public-meeting-fy-2023-2027-capital-investment-plan-cip-meeting-virtual
Hiring Fair | One-Stop Bus Operator Hiring Event,"April 5, 2022, 9:00 AM","State Transportation Building, Boston, MA",www.mbta.com/events/2022-04-05/hiring-fair-one-stop-bus-operator-hiring-event
Public Meeting | FY 2023 – 2027 Capital Investment Plan (CIP) Meeting (Virtual),"April 6, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-04-06/public-meeting-fy-2023-2027-capital-investment-plan-cip-meeting-virtual
Observation Session | Silver Line Extension Alternatives Analysis Working Group (Virtual),"April 12, 2022, 1:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-04-12/observation-session-silver-line-extension-alternatives-analysis-working-group
Public Meeting | FY 2023 – 2027 Capital Investment Plan (CIP) Meeting (Virtual),"April 12, 2022, 7:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-04-12/public-meeting-fy-2023-2027-capital-investment-plan-cip-meeting-virtual
Public Meeting | Mattapan Line Transformation Program (Virtual),"April 13, 2022, 6:30 PM","Virtual, Boston, MA",www.mbta.com/events/2022-04-13/public-meeting-mattapan-line-transformation-program-virtual
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"April 14, 2022, 9:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-04-14/board-meeting-mbta-audit-and-finance-subcommittee-virtual
"Canceled - Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee","April 14, 2022, 10:00 AM","Virtual, Boston",www.mbta.com/events/2022-04-14/canceled-board-meeting-mbta-planning-workforce-development-compensation
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","April 14, 2022, 11:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-04-14/board-meeting-mbta-safety-health-environment-subcommittee-virtual
Board Meeting | MBTA Board of Directors (Virtual),"April 28, 2022, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-04-28/board-meeting-mbta-board-directors-virtual
Advisory Meeting | Riders' Transportation Access Group (R-TAG) (Virtual),"April 28, 2022, 3:30 PM","Virtual, Boston, MA",www.mbta.com/events/2022-04-28/advisory-meeting-riders-transportation-access-group-r-tag-virtual
Board Meeting | MBTA Audit and Finance Subcommittee (Virtual),"May 12, 2022, 8:30 AM","Virtual, Boston, MA",www.mbta.com/events/2022-05-12/board-meeting-mbta-audit-and-finance-subcommittee-virtual
"Board Meeting | MBTA Planning, Workforce, Development & Compensation Subcommittee (Virtual)","May 12, 2022, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-05-12/board-meeting-mbta-planning-workforce-development-compensation-subcommittee
"Board Meeting | MBTA Safety, Health & Environment Subcommittee (Virtual)","May 16, 2022, 11:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-05-16/board-meeting-mbta-safety-health-environment-subcommittee-virtual
Public Meeting | Bus Network Redesign - Nubian Station Open House,"May 18, 2022, 2:00 PM","Nubian Station, Roxbury, MA",www.mbta.com/events/2022-05-18/public-meeting-bus-network-redesign-nubian-station-open-house
Public Meeting | Green Line Train Protection and Track Upgrades (Virtual),"May 18, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-05-18/public-meeting-green-line-train-protection-and-track-upgrades-virtual
Public Meeting | Bus Network Redesign - Systemwide (Virtual),"May 19, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-05-19/public-meeting-bus-network-redesign-systemwide-virtual
Public Meeting | Bus Network Redesign - South Shore and South Suburbs (Virtual),"May 24, 2022, 6:00 PM","Virtual, Boston, MA",www.mbta.com/events/2022-05-24/public-meeting-bus-network-redesign-south-shore-and-south-suburbs-virtual
Board Meeting | MBTA Board of Directors (Virtual),"May 26, 2022, 10:00 AM","Virtual, Boston, MA",www.mbta.com/events/2022-05-26/board-meeting-mbta-board-directors-virtual
Public Meeting | Bus Network Redesign - Chelsea City Hall Station Open House,"May 26, 2022, 5:00 PM","Chelsea City Hall, Chelsea, MA",www.mbta.com/events/2022-05-26/public-meeting-bus-network-redesign-chelsea-city-hall-station-open-house
Listening Session | Accessibility at the MBTA: The RIDE (Virtual),"May 26, 2022, 5:30 PM","Virtual, Boston, MA",www.mbta.com/events/2022-05-26/listening-session-accessibility-the-mbta-the-ride-virtual
